,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
63332,36,5,83,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/5/00,Parts per billion,42.5,60,22,57,Parts per million,0.018417,0.036,10,31,Parts per billion,8.8,15,23,21,Parts per million,0.866667,2.3,23,
63333,36,5,83,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/5/00,Parts per billion,42.5,60,22,57,Parts per million,0.018417,0.036,10,31,Parts per billion,8.8,15,23,21,Parts per million,0.7875,1.1,23,13
63334,36,5,83,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/5/00,Parts per billion,42.5,60,22,57,Parts per million,0.018417,0.036,10,31,Parts per billion,9.6,9.6,23,,Parts per million,0.866667,2.3,23,
63335,36,5,83,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/5/00,Parts per billion,42.5,60,22,57,Parts per million,0.018417,0.036,10,31,Parts per billion,9.6,9.6,23,,Parts per million,0.7875,1.1,23,13
63336,36,5,83,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/6/00,Parts per billion,42.875,82,20,81,Parts per million,0.034333,0.065,10,67,Parts per billion,9.5,26,2,37,Parts per million,1.1875,3.4,1,
63337,36,5,83,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/6/00,Parts per billion,42.875,82,20,81,Parts per million,0.034333,0.065,10,67,Parts per billion,9.5,26,2,37,Parts per million,1.195833,2.1,5,24
63338,36,5,83,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/6/00,Parts per billion,42.875,82,20,81,Parts per million,0.034333,0.065,10,67,Parts per billion,9.4625,20.6,2,,Parts per million,1.1875,3.4,1,
63339,36,5,83,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/6/00,Parts per billion,42.875,82,20,81,Parts per million,0.034333,0.065,10,67,Parts per billion,9.4625,20.6,2,,Parts per million,1.195833,2.1,5,24
63340,36,5,83,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/7/00,Parts per billion,29,56,7,53,Parts per million,0.036583,0.069,10,80,Parts per billion,7.041667,21,6,30,Parts per million,0.720833,1.5,7,
63341,36,5,83,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/7/00,Parts per billion,29,56,7,53,Parts per million,0.036583,0.069,10,80,Parts per billion,7.041667,21,6,30,Parts per million,0.8375,1.3,0,15
63342,36,5,83,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,5/7/00,Parts per billion,29,56,7,53,Parts per million,0.036583,0.069,10,80,Parts per billion,7,17.3,8,,Parts per million,0.720833,1.5,7,
